Tier,Domain,Category,AWS,Azure,Google Cloud,Oracle Cloud (OCI),Alibaba Cloud,Tencent Cloud,IBM Cloud
Core Infrastructure,Compute,Virtual machines,EC2,Virtual Machines,Compute Engine,Compute Instances,ECS,CVM,Virtual Servers
Core Infrastructure,Compute,Kubernetes,EKS,AKS,GKE,OKE,ACK,TKE,IBM Kubernetes Service
Core Infrastructure,Compute,Serverless functions,Lambda,Azure Functions,Cloud Functions,OCI Functions,Function Compute,SCF,IBM Cloud Functions
Core Infrastructure,Storage,Object storage,S3,Blob Storage,Cloud Storage,Object Storage,OSS,COS,Cloud Object Storage
Core Infrastructure,Storage,Block storage,EBS,Managed Disks,Persistent Disk,Block Volumes,Cloud Disk,CBS,Block Storage
Core Infrastructure,Storage,File storage,EFS,Azure Files,Filestore,File Storage,NAS,Cloud File Storage,File Storage
Core Infrastructure,Storage,Archive storage,Glacier,Azure Archive Storage,Archive Storage,Archive Storage,Cold Archive,Cold Storage,Cloud Object Storage Archive
Core Infrastructure,Networking,Virtual network,VPC,VNet,VPC,VCN,VPC,VPC,VPC
Core Infrastructure,Networking,Load balancing,ELB,Azure Load Balancer,Cloud Load Balancing,Load Balancer,SLB,CLB,Load Balancer
Core Infrastructure,Networking,DNS,Route 53,Azure DNS,Cloud DNS,OCI DNS,Alibaba DNS,Tencent DNS,IBM DNS
Core Infrastructure,Networking,Private connectivity,Direct Connect,ExpressRoute,Cloud Interconnect,FastConnect,Express Connect,Direct Connect,Direct Link
Core Infrastructure,Networking,VPN,VPN Gateway,Azure VPN Gateway,Cloud VPN,OCI VPN,VPN Gateway,VPN Gateway,VPN
Core Infrastructure,Identity,Identity & access management,IAM,Microsoft Entra ID,Cloud IAM,OCI IAM,RAM,CAM,IBM IAM
Data & Analytics,Databases,Relational DB,RDS,Azure SQL Database,Cloud SQL,Autonomous DB,ApsaraDB,TencentDB,Db2 on Cloud
Data & Analytics,Databases,NoSQL DB,DynamoDB,Cosmos DB,Firestore/Bigtable,NoSQL DB,Table Store,TencentDB Mongo/Redis,Cloudant
Data & Analytics,Databases,Data warehouse,Redshift,Synapse,BigQuery,Autonomous DW,AnalyticDB,TencentDB Analytics,Db2 Warehouse
Data & Analytics,Databases,Graph DB,Neptune,Cosmos DB (Gremlin),Graph Engine,Graph Database,Graph Database,Graph Database,IBM Graph
Data & Analytics,Databases,Time series DB,Timestream,Time Series Insights,Bigtable TS,Time Series DB,TSDB,Time Series DB,Informix TimeSeries
Data & Analytics,Databases,In-memory cache,ElastiCache,Azure Cache for Redis,MemoryStore,Oracle Coherence,Redis,TencentDB for Redis,IBM Data Cache
Data & Analytics,Analytics,BI & dashboards,QuickSight,Power BI,Looker,Analytics Cloud,Quick BI,DataLake Analytics,Cognos Analytics
Data & Analytics,Data Integration,ETL,Glue,Data Factory,Dataflow,Data Integration,DataWorks,Data Integration,DataStage
Data & Analytics,Data Lake,Data lake,Lake Formation,Data Lake Storage,BigLake,Data Lakehouse,Data Lake,Tencent DataLake,Cloud Pak for Data
AI & ML,AI & ML,ML platform,SageMaker,Azure Machine Learning,Vertex AI,OCI Data Science,PAI,TI-ONE,watsonx.ai
AI & ML,AI & ML,Vision AI,Rekognition,Computer Vision,Vision API,OCI Vision,Image Search,Tencent Image Recognition,watsonx.ai Vision
AI & ML,AI & ML,Speech recognition,Transcribe,Speech Service,Speech-to-Text,OCI Speech,Speech Interaction,Tencent ASR,Watson Speech to Text
AI & ML,AI & ML,Translation,Translate,Translator,Translation API,OCI Translation,Machine Translation,Tencent TMT,Watson Language Translator
